Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
11:00:50.336,10.11.15.130,10.3.7.11,2c 9e,11422,dd f0,56816,56439,5201,76 4e,30286,12,616336,00 09 67 90,23,00 00 00 17
11:00:50.338,10.11.15.130,10.3.7.11,2c 9f,11423,dd ef,56815,56439,5201,6e 7d,28285,12,618336,00 09 6f 60,24,00 00 00 18
11:00:50.339,10.11.15.130,10.3.7.11,2c a0,11424,dd ee,56814,56439,5201,6a 93,27283,14,619337,00 09 73 49,25,00 00 00 19
11:00:50.341,10.11.15.130,10.3.7.11,2c a1,11425,dd ed,56813,56439,5201,62 c3,25283,14,621336,00 09 7b 18,26,00 00 00 1a
11:00:50.342,10.11.15.130,10.3.7.11,2c a2,11426,dd ec,56812,56439,5201,5e da,24282,14,622336,00 09 7f 00,27,00 00 00 1b
11:00:50.344,10.11.15.130,10.3.7.11,2c a3,11427,dd eb,56811,56439,5201,57 09,22281,12,624336,00 09 86 d0,28,00 00 00 1c
11:00:50.345,10.11.15.130,10.3.7.11,2c a4,11428,dd ea,56810,56439,5201,53 1e,21278,12,625338,00 09 8a ba,29,00 00 00 1d
11:00:50.346,10.11.15.130,10.3.7.11,2c a5,11429,dd e9,56809,56439,5201,4f 36,20278,14,626337,00 09 8e a1,30,00 00 00 1e
11:00:50.348,10.11.15.130,10.3.7.11,2c a6,11430,dd e8,56808,56439,5201,47 65,18277,14,628337,00 09 96 71,31,00 00 00 1f
11:00:50.349,10.11.15.130,10.3.7.11,2c a7,11431,dd e7,56807,56439,5201,43 7c,17276,12,629337,00 09 9a 59,32,00 00 00 20
11:00:50.351,10.11.15.130,10.3.7.11,2c a8,11432,dd e6,56806,56439,5201,3b ac,15276,9,631336,00 09 a2 28,33,00 00 00 21
11:00:50.352,10.11.15.130,10.3.7.11,2c a9,11433,dd e5,56805,56439,5201,37 c3,14275,9,632336,00 09 a6 10,34,00 00 00 22
11:00:50.354,10.11.15.130,10.3.7.11,2c aa,11434,dd e4,56804,56439,5201,2f f2,12274,14,634336,00 09 ad e0,35,00 00 00 23
11:00:50.355,10.11.15.130,10.3.7.11,2c ab,11435,dd e3,56803,56439,5201,2c 08,11272,14,635337,00 09 b1 c9,36,00 00 00 24
11:00:50.357,10.11.15.130,10.3.7.11,2c ac,11436,dd e2,56802,56439,5201,24 38,9272,9,637336,00 09 b9 98,37,00 00 00 25
11:00:50.358,10.11.15.130,10.3.7.11,2c ad,11437,dd e1,56801,56439,5201,20 4f,8271,9,638336,00 09 bd 80,38,00 00 00 26
11:00:50.359,10.11.15.130,10.3.7.11,2c ae,11438,dd e0,56800,56439,5201,1c 66,7270,11,639336,00 09 c1 68,39,00 00 00 27
11:00:50.361,10.11.15.130,10.3.7.11,2c af,11439,dd df,56799,56439,5201,14 95,5269,11,641336,00 09 c9 38,40,00 00 00 28
11:00:50.362,10.11.15.130,10.3.7.11,2c b0,11440,dd de,56798,56439,5201,10 ac,4268,11,642336,00 09 cd 20,41,00 00 00 29
11:00:50.364,10.11.15.130,10.3.7.11,2c b1,11441,dd dd,56797,56439,5201,08 db,2267,12,644336,00 09 d4 f0,42,00 00 00 2a
11:00:50.365,10.11.15.130,10.3.7.11,2c b2,11442,dd dc,56796,56439,5201,04 f2,1266,12,645336,00 09 d8 d8,43,00 00 00 2b
11:00:50.367,10.11.15.130,10.3.7.11,2c b3,11443,dd db,56795,56439,5201,fd 20,64800,12,647336,00 09 e0 a8,44,00 00 00 2c
11:00:50.368,10.11.15.130,10.3.7.11,2c b4,11444,dd da,56794,56439,5201,f9 37,63799,12,648336,00 09 e4 90,45,00 00 00 2d
11:00:50.370,10.11.15.130,10.3.7.11,2c b5,11445,dd d9,56793,56439,5201,f1 66,61798,15,650336,00 09 ec 60,46,00 00 00 2e
11:00:50.371,10.11.15.130,10.3.7.11,2c b6,11446,dd d8,56792,56439,5201,ed 7d,60797,12,651336,00 09 f0 48,47,00 00 00 2f
11:00:50.372,10.11.15.130,10.3.7.11,2c b7,11447,dd d7,56791,56439,5201,e9 93,59795,12,652337,00 09 f4 31,48,00 00 00 30
11:00:50.374,10.11.15.130,10.3.7.11,2c b8,11448,dd d6,56790,56439,5201,e1 c3,57795,12,654336,00 09 fc 00,49,00 00 00 31
11:00:50.375,10.11.15.130,10.3.7.11,2c b9,11449,dd d5,56789,56439,5201,dd da,56794,12,655336,00 09 ff e8,50,00 00 00 32
11:00:50.377,10.11.15.130,10.3.7.11,2c ba,11450,dd d4,56788,56439,5201,d6 09,54793,16,657336,00 0a 07 b8,51,00 00 00 33
11:00:50.378,10.11.15.130,10.3.7.11,2c bb,11451,dd d3,56787,56439,5201,d2 20,53792,16,658336,00 0a 0b a0,52,00 00 00 34
11:00:50.380,10.11.15.130,10.3.7.11,2c bc,11452,dd d2,56786,56439,5201,ca 4f,51791,12,660336,00 0a 13 70,53,00 00 00 35
11:00:50.381,10.11.15.130,10.3.7.11,2c bd,11453,dd d1,56785,56439,5201,c6 66,50790,12,661336,00 0a 17 58,54,00 00 00 36
11:00:50.383,10.11.15.130,10.3.7.11,2c be,11454,dd d0,56784,56439,5201,be 95,48789,12,663336,00 0a 1f 28,55,00 00 00 37
11:00:50.384,10.11.15.130,10.3.7.11,2c bf,11455,dd cf,56783,56439,5201,ba ab,47787,14,664337,00 0a 23 11,56,00 00 00 38
11:00:50.386,10.11.15.130,10.3.7.11,2c c0,11456,dd ce,56782,56439,5201,b2 db,45787,12,666336,00 0a 2a e0,57,00 00 00 39
11:00:50.387,10.11.15.130,10.3.7.11,2c c1,11457,dd cd,56781,56439,5201,ae f1,44785,12,667337,00 0a 2e c9,58,00 00 00 3a
11:00:50.388,10.11.15.130,10.3.7.11,2c c2,11458,dd cc,56780,56439,5201,ab 09,43785,12,668336,00 0a 32 b0,59,00 00 00 3b
11:00:50.390,10.11.15.130,10.3.7.11,2c c3,11459,dd cb,56779,56439,5201,a3 38,41784,12,670336,00 0a 3a 80,60,00 00 00 3c
11:00:50.391,10.11.15.130,10.3.7.11,2c c4,11460,dd ca,56778,56439,5201,9f 4f,40783,16,671336,00 0a 3e 68,61,00 00 00 3d
11:00:50.393,10.11.15.130,10.3.7.11,2c c5,11461,dd c9,56777,56439,5201,97 7d,38781,12,673337,00 0a 46 39,62,00 00 00 3e
11:00:50.394,10.11.15.130,10.3.7.11,2c c6,11462,dd c8,56776,56439,5201,93 94,37780,12,674337,00 0a 4a 21,63,00 00 00 3f
11:00:50.396,10.11.15.130,10.3.7.11,2c c7,11463,dd c7,56775,56439,5201,8b c4,35780,12,676336,00 0a 51 f0,64,00 00 00 40
11:00:50.397,10.11.15.130,10.3.7.11,2c c8,11464,dd c6,56774,56439,5201,87 db,34779,12,677336,00 0a 55 d8,65,00 00 00 41
11:00:50.399,10.11.15.130,10.3.7.11,2c c9,11465,dd c5,56773,56439,5201,80 09,32777,12,679337,00 0a 5d a9,66,00 00 00 42
11:00:50.400,10.11.15.130,10.3.7.11,2c ca,11466,dd c4,56772,56439,5201,7c 21,31777,12,680336,00 0a 61 90,67,00 00 00 43
11:00:50.401,10.11.15.130,10.3.7.11,2c cb,11467,dd c3,56771,56439,5201,78 38,30776,14,681336,00 0a 65 78,68,00 00 00 44
11:00:50.403,10.11.15.130,10.3.7.11,2c cc,11468,dd c2,56770,56439,5201,70 67,28775,14,683336,00 0a 6d 48,69,00 00 00 45
11:00:50.404,10.11.15.130,10.3.7.11,2c cd,11469,dd c1,56769,56439,5201,6c 7e,27774,12,684336,00 0a 71 30,70,00 00 00 46
11:00:50.406,10.11.15.130,10.3.7.11,2c ce,11470,dd c0,56768,56439,5201,64 ad,25773,12,686336,00 0a 79 00,71,00 00 00 47
11:00:50.407,10.11.15.130,10.3.7.11,2c cf,11471,dd bf,56767,56439,5201,60 c3,24771,12,687337,00 0a 7c e9,72,00 00 00 48
