Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
11:13:37.586,10.11.15.136,10.3.7.11,38 46,14406,d2 42,53826,34017,5202,50 4c,20556,9,866026,00 0d 36 ea,3,00 00 00 03
11:13:37.588,10.11.15.136,10.3.7.11,38 47,14407,d2 41,53825,34017,5202,48 7c,18556,12,868025,00 0d 3e b9,4,00 00 00 04
11:13:37.590,10.11.15.134,10.3.7.11,73 98,29592,96 f2,38642,46440,5201,15 62,5474,7,870030,00 0d 46 8e,5,00 00 00 05
11:13:37.591,10.11.15.136,10.3.7.11,38 48,14408,d2 40,53824,34017,5202,3c c2,15554,7,871026,00 0d 4a 72,5,00 00 00 05
11:13:37.593,10.11.15.136,10.3.7.11,38 49,14409,d2 3f,53823,34017,5202,34 f1,13553,7,873026,00 0d 52 42,6,00 00 00 06
11:13:37.595,10.11.15.134,10.3.7.11,73 99,29593,96 f1,38641,46440,5201,01 d9,473,15,875030,00 0d 5a 16,6,00 00 00 06
11:13:37.595,10.11.15.136,10.3.7.11,38 4a,14410,d2 3e,53822,34017,5202,2d 20,11552,15,875026,00 0d 5a 12,7,00 00 00 07
11:13:37.598,10.11.15.136,10.3.7.11,38 4b,14411,d2 3d,53821,34017,5202,21 67,8551,12,878026,00 0d 65 ca,8,00 00 00 08
11:13:37.600,10.11.15.136,10.3.7.11,38 4c,14412,d2 3c,53820,34017,5202,19 96,6550,12,880026,00 0d 6d 9a,9,00 00 00 09
11:13:37.601,10.11.15.134,10.3.7.11,73 9a,29594,96 f0,38640,46440,5201,ea 67,60007,12,881030,00 0d 71 86,7,00 00 00 07
11:13:37.602,10.11.15.136,10.3.7.11,38 4d,14413,d2 3b,53819,34017,5202,11 c6,4550,12,882025,00 0d 75 69,10,00 00 00 0a
11:13:37.605,10.11.15.136,10.3.7.11,38 4e,14414,d2 3a,53818,34017,5202,06 0d,1549,12,885025,00 0d 81 21,11,00 00 00 0b
11:13:37.607,10.11.15.134,10.3.7.11,73 9b,29595,96 ef,38639,46440,5201,d2 f6,54006,12,887030,00 0d 88 f6,8,00 00 00 08
11:13:37.607,10.11.15.136,10.3.7.11,38 4f,14415,d2 39,53817,34017,5202,fe 3a,65082,12,887026,00 0d 88 f2,12,00 00 00 0c
11:13:37.609,10.11.15.136,10.3.7.11,38 50,14416,d2 38,53816,34017,5202,f6 69,63081,6,889026,00 0d 90 c2,13,00 00 00 0d
11:13:37.612,10.11.15.136,10.3.7.11,38 51,14417,d2 37,53815,34017,5202,ea b0,60080,12,892026,00 0d 9c 7a,14,00 00 00 0e
11:13:37.613,10.11.15.134,10.3.7.11,73 9c,29596,96 ee,38638,46440,5201,bb 84,48004,12,893031,00 0d a0 67,9,00 00 00 09
11:13:37.614,10.11.15.136,10.3.7.11,38 52,14418,d2 36,53814,34017,5202,e2 df,58079,12,894026,00 0d a4 4a,15,00 00 00 0f
11:13:37.616,10.11.15.136,10.3.7.11,38 53,14419,d2 35,53813,34017,5202,db 0e,56078,13,896026,00 0d ac 1a,16,00 00 00 10
11:13:37.619,10.11.15.134,10.3.7.11,73 9d,29597,96 ed,38637,46440,5201,a4 14,42004,14,899030,00 0d b7 d6,10,00 00 00 0a
11:13:37.619,10.11.15.136,10.3.7.11,38 54,14420,d2 34,53812,34017,5202,cf 55,53077,14,899026,00 0d b7 d2,17,00 00 00 11
11:13:37.621,10.11.15.136,10.3.7.11,38 55,14421,d2 33,53811,34017,5202,c7 84,51076,12,901026,00 0d bf a2,18,00 00 00 12
11:13:37.623,10.11.15.136,10.3.7.11,38 56,14422,d2 32,53810,34017,5202,bf b2,49074,12,903027,00 0d c7 73,19,00 00 00 13
11:13:37.624,10.11.15.134,10.3.7.11,73 9e,29598,96 ec,38636,46440,5201,90 8b,37003,12,904030,00 0d cb 5e,11,00 00 00 0b
11:13:37.625,10.11.15.136,10.3.7.11,38 57,14423,d2 31,53809,34017,5202,b7 e2,47074,15,905026,00 0d cf 42,20,00 00 00 14
11:13:37.628,10.11.15.136,10.3.7.11,38 58,14424,d2 30,53808,34017,5202,ac 29,44073,10,908026,00 0d da fa,21,00 00 00 15
11:13:37.630,10.11.15.134,10.3.7.11,73 9f,29599,96 eb,38635,46440,5201,79 1a,31002,14,910030,00 0d e2 ce,12,00 00 00 0c
11:13:37.630,10.11.15.136,10.3.7.11,38 59,14425,d2 2f,53807,34017,5202,a4 58,42072,14,910026,00 0d e2 ca,22,00 00 00 16
11:13:37.632,10.11.15.136,10.3.7.11,38 5a,14426,d2 2e,53806,34017,5202,9c 87,40071,14,912026,00 0d ea 9a,23,00 00 00 17
11:13:37.635,10.11.15.136,10.3.7.11,38 5b,14427,d2 2d,53805,34017,5202,90 ce,37070,12,915026,00 0d f6 52,24,00 00 00 18
11:13:37.636,10.11.15.134,10.3.7.11,73 a0,29600,96 ea,38634,46440,5201,61 a9,25001,6,916030,00 0d fa 3e,13,00 00 00 0d
11:13:37.637,10.11.15.136,10.3.7.11,38 5c,14428,d2 2c,53804,34017,5202,88 fd,35069,6,917026,00 0d fe 22,25,00 00 00 19
11:13:37.639,10.11.15.136,10.3.7.11,38 5d,14429,d2 2b,53803,34017,5202,81 2c,33068,13,919026,00 0e 05 f2,26,00 00 00 1a
11:13:37.642,10.11.15.134,10.3.7.11,73 a1,29601,96 e9,38633,46440,5201,4a 39,19001,18,922029,00 0e 11 ad,14,00 00 00 0e
11:13:37.642,10.11.15.136,10.3.7.11,38 5e,14430,d2 2a,53802,34017,5202,75 73,30067,18,922026,00 0e 11 aa,27,00 00 00 1b
11:13:37.644,10.11.15.136,10.3.7.11,38 5f,14431,d2 29,53801,34017,5202,6d a2,28066,13,924026,00 0e 19 7a,28,00 00 00 1c
11:13:37.646,10.11.15.136,10.3.7.11,38 60,14432,d2 28,53800,34017,5202,65 d1,26065,12,926026,00 0e 21 4a,29,00 00 00 1d
11:13:37.648,10.11.15.134,10.3.7.11,73 a2,29602,96 e8,38632,46440,5201,32 c7,12999,13,928030,00 0e 29 1e,15,00 00 00 0f
11:13:37.649,10.11.15.136,10.3.7.11,38 61,14433,d2 27,53799,34017,5202,5a 18,23064,13,929026,00 0e 2d 02,30,00 00 00 1e
11:13:37.651,10.11.15.136,10.3.7.11,38 62,14434,d2 26,53798,34017,5202,52 47,21063,13,931026,00 0e 34 d2,31,00 00 00 1f
11:13:37.653,10.11.15.134,10.3.7.11,73 a3,29603,96 e7,38631,46440,5201,1f 3f,7999,13,933029,00 0e 3c a5,16,00 00 00 10
11:13:37.653,10.11.15.136,10.3.7.11,38 63,14435,d2 25,53797,34017,5202,4a 76,19062,13,933026,00 0e 3c a2,32,00 00 00 20
11:13:37.656,10.11.15.136,10.3.7.11,38 64,14436,d2 24,53796,34017,5202,3e bc,16060,15,936027,00 0e 48 5b,33,00 00 00 21
11:13:37.658,10.11.15.136,10.3.7.11,38 65,14437,d2 23,53795,34017,5202,36 ed,14061,10,938025,00 0e 50 29,34,00 00 00 22
11:13:37.659,10.11.15.134,10.3.7.11,73 a4,29604,96 e6,38630,46440,5201,07 cd,1997,10,939030,00 0e 54 16,17,00 00 00 11
11:13:37.660,10.11.15.136,10.3.7.11,38 66,14438,d2 22,53794,34017,5202,2f 1c,12060,13,940025,00 0e 57 f9,35,00 00 00 23
11:13:37.663,10.11.15.136,10.3.7.11,38 67,14439,d2 21,53793,34017,5202,23 62,9058,15,943026,00 0e 63 b2,36,00 00 00 24
11:13:37.665,10.11.15.134,10.3.7.11,73 a5,29605,96 e5,38629,46440,5201,f0 5c,61532,12,945029,00 0e 6b 85,18,00 00 00 12
11:13:37.665,10.11.15.136,10.3.7.11,38 68,14440,d2 20,53792,34017,5202,1b 92,7058,12,945025,00 0e 6b 81,37,00 00 00 25
11:13:37.667,10.11.15.136,10.3.7.11,38 69,14441,d2 1f,53791,34017,5202,13 c0,5056,8,947026,00 0e 73 52,38,00 00 00 26
11:13:37.669,10.11.15.136,10.3.7.11,38 6a,14442,d2 1e,53790,34017,5202,0b ee,3054,10,949027,00 0e 7b 23,39,00 00 00 27
11:13:37.671,10.11.15.134,10.3.7.11,73 a6,29606,96 e4,38628,46440,5201,d8 eb,55531,15,951029,00 0e 82 f5,19,00 00 00 13
11:13:37.672,10.11.15.136,10.3.7.11,38 6b,14443,d2 1d,53789,34017,5202,00 36,54,15,952026,00 0e 86 da,40,00 00 00 28
11:13:37.674,10.11.15.136,10.3.7.11,38 6c,14444,d2 1c,53788,34017,5202,f8 63,63587,15,954027,00 0e 8e ab,41,00 00 00 29
11:13:37.676,10.11.15.134,10.3.7.11,73 a7,29607,96 e3,38627,46440,5201,c5 61,50529,13,956030,00 0e 96 7e,20,00 00 00 14
11:13:37.676,10.11.15.136,10.3.7.11,38 6d,14445,d2 1b,53787,34017,5202,f0 93,61587,13,956026,00 0e 96 7a,42,00 00 00 2a
11:13:37.679,10.11.15.136,10.3.7.11,38 6e,14446,d2 1a,53786,34017,5202,e4 d9,58585,13,959027,00 0e a2 33,43,00 00 00 2b
11:13:37.681,10.11.15.136,10.3.7.11,38 6f,14447,d2 19,53785,34017,5202,dd 09,56585,12,961026,00 0e aa 02,44,00 00 00 2c
11:13:37.682,10.11.15.134,10.3.7.11,73 a8,29608,96 e2,38626,46440,5201,ad f0,44528,12,962030,00 0e ad ee,21,00 00 00 15
11:13:37.683,10.11.15.136,10.3.7.11,38 70,14448,d2 18,53784,34017,5202,d5 37,54583,12,963027,00 0e b1 d3,45,00 00 00 2d
11:13:37.686,10.11.15.136,10.3.7.11,38 71,14449,d2 17,53783,34017,5202,c9 7f,51583,18,966026,00 0e bd 8a,46,00 00 00 2e
11:13:37.688,10.11.15.134,10.3.7.11,73 a9,29609,96 e1,38625,46440,5201,96 7f,38527,13,968030,00 0e c5 5e,22,00 00 00 16
11:13:37.688,10.11.15.136,10.3.7.11,38 72,14450,d2 16,53782,34017,5202,c1 af,49583,13,968025,00 0e c5 59,47,00 00 00 2f
11:13:37.690,10.11.15.136,10.3.7.11,38 73,14451,d2 15,53781,34017,5202,b9 dd,47581,12,970026,00 0e cd 2a,48,00 00 00 30
11:13:37.693,10.11.15.136,10.3.7.11,38 74,14452,d2 14,53780,34017,5202,ae 24,44580,7,973026,00 0e d8 e2,49,00 00 00 31
11:13:37.694,10.11.15.134,10.3.7.11,73 aa,29610,96 e0,38624,46440,5201,7f 0e,32526,7,974030,00 0e dc ce,23,00 00 00 17
11:13:37.695,10.11.15.136,10.3.7.11,38 75,14453,d2 13,53779,34017,5202,a6 53,42579,12,975026,00 0e e0 b2,50,00 00 00 32
11:13:37.697,10.11.15.136,10.3.7.11,38 76,14454,d2 12,53778,34017,5202,9e 82,40578,12,977026,00 0e e8 82,51,00 00 00 33
11:13:37.700,10.11.15.134,10.3.7.11,73 ab,29611,96 df,38623,46440,5201,67 9d,26525,15,980030,00 0e f4 3e,24,00 00 00 18
11:13:37.700,10.11.15.136,10.3.7.11,38 77,14455,d2 11,53777,34017,5202,92 c9,37577,15,980026,00 0e f4 3a,52,00 00 00 34
11:13:37.702,10.11.15.136,10.3.7.11,38 78,14456,d2 10,53776,34017,5202,8a f8,35576,15,982026,00 0e fc 0a,53,00 00 00 35
11:13:37.704,10.11.15.136,10.3.7.11,38 79,14457,d2 0f,53775,34017,5202,83 26,33574,13,984027,00 0f 03 db,54,00 00 00 36
11:13:37.705,10.11.15.134,10.3.7.11,73 ac,29612,96 de,38622,46440,5201,54 15,21525,12,985029,00 0f 07 c5,25,00 00 00 19
11:13:37.707,10.11.15.136,10.3.7.11,38 7a,14458,d2 0e,53774,34017,5202,77 6e,30574,11,987026,00 0f 0f 92,55,00 00 00 37
11:13:37.709,10.11.15.136,10.3.7.11,38 7b,14459,d2 0d,53773,34017,5202,6f 9c,28572,14,989027,00 0f 17 63,56,00 00 00 38
11:13:37.711,10.11.15.134,10.3.7.11,73 ad,29613,96 dd,38621,46440,5201,3c a3,15523,19,991030,00 0f 1f 36,26,00 00 00 1a
