Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
13:27:46.608,10.11.15.130,10.3.7.11,1a 87,6791,f0 07,61447,41166,1027,ee 6f,61039,15,888099,00 0d 8d 23,22,00 00 00 16
13:27:46.610,10.11.15.130,10.3.7.11,1a 88,6792,f0 06,61446,41166,1027,e6 9e,59038,12,890099,00 0d 94 f3,23,00 00 00 17
13:27:46.613,10.11.15.130,10.3.7.11,1a 89,6793,f0 05,61445,41166,1027,da e5,56037,12,893099,00 0d a0 ab,24,00 00 00 18
13:27:46.615,10.11.15.130,10.3.7.11,1a 8a,6794,f0 04,61444,41166,1027,d3 14,54036,16,895099,00 0d a8 7b,25,00 00 00 19
13:27:46.617,10.11.15.130,10.3.7.11,1a 8b,6795,f0 03,61443,41166,1027,cb 44,52036,13,897098,00 0d b0 4a,26,00 00 00 1a
13:27:46.620,10.11.15.130,10.3.7.11,1a 8c,6796,f0 02,61442,41166,1027,bf 8a,49034,12,900099,00 0d bc 03,27,00 00 00 1b
13:27:46.622,10.11.15.130,10.3.7.11,1a 8d,6797,f0 01,61441,41166,1027,b7 b9,47033,13,902099,00 0d c3 d3,28,00 00 00 1c
13:27:46.624,10.11.15.130,10.3.7.11,1a 8e,6798,f0 00,61440,41166,1027,af e8,45032,9,904099,00 0d cb a3,29,00 00 00 1d
13:27:46.627,10.11.15.130,10.3.7.11,1a 8f,6799,ef ff,61439,41166,1027,a4 2f,42031,12,907099,00 0d d7 5b,30,00 00 00 1e
13:27:46.629,10.11.15.130,10.3.7.11,1a 90,6800,ef fe,61438,41166,1027,9c 5e,40030,12,909099,00 0d df 2b,31,00 00 00 1f
13:27:46.631,10.11.15.130,10.3.7.11,1a 91,6801,ef fd,61437,41166,1027,94 8d,38029,15,911099,00 0d e6 fb,32,00 00 00 20
13:27:46.634,10.11.15.130,10.3.7.11,1a 92,6802,ef fc,61436,41166,1027,88 d5,35029,13,914098,00 0d f2 b2,33,00 00 00 21
13:27:46.636,10.11.15.130,10.3.7.11,1a 93,6803,ef fb,61435,41166,1027,81 04,33028,15,916098,00 0d fa 82,34,00 00 00 22
13:27:46.638,10.11.15.130,10.3.7.11,1a 94,6804,ef fa,61434,41166,1027,79 32,31026,15,918099,00 0e 02 53,35,00 00 00 23
